epub_Date,Journal,xml_file_name,article_title,Prism,ImageJ,Matlab,Fiji,R
27-12-2017,BMC_Biol,PMC5745965.nxml,Memory retrieval in addiction: a role for miR-105-mediated regulation of D1 receptors in mPFC neurons projecting to the basolateral amygdala,0,1,0,0,0
29-6-2017,BMC_Biol,PMC5492891.nxml,Mov10 suppresses retroelements and regulates neuronal development and function in the developing brain,0,0,0,0,1
30-7-2020,BMC_Biol,PMC7392683.nxml,Genetic background mutations drive neural circuit hyperconnectivity in a fragile X syndrome model,1,0,0,1,0
31-10-2017,BMC_Biol,PMC5670518.nxml,Characterization of a thalamic nucleus mediating habenula responses to changes in ambient illumination,0,0,0,1,0
14-10-2020,BMC_Mol_Cell_Biol,PMC7557079.nxml,WRN modulates translation by influencing nuclear mRNA export in HeLa cancer cells,2,1,0,0,0
6-11-2018,BMC_Neurosci,PMC6219247.nxml,Identification of the neurotransmitter profile of AmFoxP expressing neurons in the honeybee brain using double-label in situ hybridization,0,0,0,1,0
10-7-2019,BMC_Neurosci,PMC6617565.nxml,Chronic exposure to high fat diet triggers myelin disruption and interleukin-33 upregulation in hypothalamus,0,1,0,0,0
2-4-2020,BMJ_Open_Diabetes_Res_Care,PMC7254100.nxml,Relationship of obesity to adipose tissue insulin resistance,0,0,0,0,1
20-1-2020,BMC_Vet_Res,PMC6971886.nxml,Molecular alterations of the TLR4-signaling cascade in canine epilepsy,0,1,0,0,0
11-6-2019,BMC_Res_Notes,PMC6558810.nxml,Identification of a bone morphogenetic protein type 2 receptor neutralizing antibody,0,1,0,0,0
27-3-2017,Biol_Methods_Protoc,PMC6994029.nxml,Quantifying pigment cover to assess variation in animal colouration,0,1,0,0,1
27-12-2016,Biol_Methods_Protoc,PMC6994071.nxml,Identification of stable reference genes for lipopolysaccharide-stimulated macrophage gene expression studies,1,0,0,0,0
11-1-2019,Biol_Sex_Differ,PMC6329134.nxml,Estrogen receptor profiles across tissues from male and female Rattus norvegicus,1,0,0,0,0
14-9-2019,Biol_Sex_Differ,PMC6744626.nxml,Targeting senescence improves angiogenic potential of adipose-derived mesenchymal stem cells in patients with preeclampsia,1,0,0,0,0
18-11-2019,Biomol_Ther_(Seoul),PMC7059814.nxml,"PBT-6, a Novel PI3KC2γ Inhibitor in Rheumatoid Arthritis",1,0,0,0,0
13-2-2020,Biomolecules,PMC7072161.nxml,Licochalcone D Induces ROS-Dependent Apoptosis in Gefitinib-Sensitive or Resistant Lung Cancer Cells by Targeting EGFR and MET,1,0,0,0,0
06-1-2020,Biomolecules,PMC7022473.nxml,Reduced Sulfation Enhanced Oxytosis and Ferroptosis in Mouse Hippocampal HT22 Cells,1,0,0,0,0
04-9-2019,Br_J_Pharmacol,PMC6780030.nxml,Drug‐induced shortening of the electromechanical window is an effective biomarker for in silico prediction of clinical risk of arrhythmias,0,0,1,0,0
04-7-2019,Br_J_Pharmacol,PMC6637043.nxml,Ca2+ signalling plays a role in celastrol‐mediated suppression of synovial fibroblasts of rheumatoid arthritis patients and experimental arthritis in rats,1,1,0,0,0
17-6-2019,Br_J_Pharmacol,PMC6609550.nxml,Blockade of the forward Na+/Ca2+ exchanger suppresses the growth of glioblastoma cells through Ca2+‐mediated cell death,1,0,0,0,0
24-4-2019,Br_J_Pharmacol,PMC7024713.nxml,Hydrogen sulfide inhibits calcification of heart valves; implications for calcific aortic valve disease,1,0,0,0,0
09-12-2019,Br_J_Pharmacol,PMC6932941.nxml,Inhibition of the hyaluronan matrix enhances metabolic anticancer therapy by dichloroacetate in vitro and in vivo,1,0,0,1,0
05-8-2020,Br_J_Pharmacol,PMC7443477.nxml,Translational engagement of lysophosphatidic acid receptor 1 in skin fibrosis: from dermal fibroblasts of patients with scleroderma to tight skin 1 mouse,1,0,0,0,0
26-12-2019,Br_J_Pharmacol,PMC7029771.nxml,Considerations for improved performance of competition association assays analysed with the Motulsky–Mahan's “kinetics of competitive binding” model,2,0,0,0,0
16-2-2020,Br_J_Pharmacol,PMC7056470.nxml,"Icariside II, a phosphodiesterase 5 inhibitor, attenuates cerebral ischaemia/reperfusion injury by inhibiting glycogen synthase kinase‐3β‐mediated activation of autophagy",4,4,0,0,0
29-5-2020,Br_J_Pharmacol,PMC7280013.nxml,Activation of the MET receptor attenuates doxorubicin‐induced cardiotoxicity in vivo and in vitro,1,1,0,0,0
11-12-2019,Br_J_Pharmacol,PMC6932944.nxml,Novel pharmacological actions of trequinsin hydrochloride improve human sperm cell motility and function,1,0,0,0,1
08-10-2020,Br_J_Pharmacol,PMC7436585.nxml,Protective effects of Δ9‐tetrahydrocannabinol against enterotoxin‐induced acute respiratory distress syndrome are mediated by modulation of microbiota,1,1,0,0,0
30-5-2019,Br_J_Pharmacol,PMC6592853.nxml,Stimulation of β‐adrenoceptors up‐regulates cardiac expression of galectin‐3 and BIM through the Hippo signalling pathway,1,0,0,0,0
11-5-2019,Br_J_Pharmacol,PMC6555867.nxml,Influence of sildenafil on the purinergic components of nerve‐mediated and urothelial ATP release from the bladder of normal and spinal cord injured mice,1,0,0,0,0
26-8-2020,Br_J_Pharmacol,PMC7484557.nxml,Inhibition of Bruton's TK regulates macrophage NF‐κB and NLRP3 inflammasome activation in metabolic inflammation,1,0,0,0,0
11-9-2019,Br_J_Pharmacol,PMC6811745.nxml,Intranasal administration of a stapled relaxin‐3 mimetic has anxiolytic‐ and antidepressant‐like activity in rats,0,4,0,0,0
17-9-2020,Br_J_Pharmacol,PMC7520443.nxml,Prefrontal inhibition of neuronal Kv7 channels enhances prepulse inhibition of acoustic startle reflex and resistance to hypofrontality,1,0,0,0,0
06-3-2020,Br_J_Pharmacol,PMC7174883.nxml,Treatment with anti‐neonatal Fc receptor (FcRn) antibody ameliorates experimental epidermolysis bullosa acquisita in mice,4,4,0,0,0
21-1-2020,Br_J_Pharmacol,PMC7024737.nxml,"Antithrombotic effect of SP‐8008, a benzoic acid derivative, through the selective inhibition of shear stress‐induced platelet aggregation",1,1,0,0,0
30-9-2020,Br_J_Pharmacol,PMC7589013.nxml,Major histocompatibility complexes are up‐regulated in glomerular endothelial cells via activation of c‐Jun N‐terminal kinase in 5/6 nephrectomy mice,1,2,0,0,0
07-11-2019,Br_J_Pharmacol,PMC6965684.nxml,"Characterization of binding, functional activity, and contractile responses of the selective 5‐HT1F receptor agonist lasmiditan",1,0,0,0,0
26-12-2018,Br_J_Pharmacol,PMC6329626.nxml,Characterization of kinetics of human cytochrome P450s involved in bioactivation of flucloxacillin: inhibition of CYP3A‐catalysed hydroxylation by sulfaphenazole,1,0,0,0,0
30-8-2019,Br_J_Pharmacol,PMC6780032.nxml,"LUF7244, an allosteric modulator/activator of Kv11.1 channels, counteracts dofetilide‐induced torsades de pointes arrhythmia in the chronic atrioventricular block dog model",1,0,1,0,0
19-5-2020,Br_J_Pharmacol,PMC7348086.nxml,Voltage modulates the effect of μ‐receptor activation in a ligand‐dependent manner,1,0,0,0,0
02-3-2020,Br_J_Pharmacol,PMC7205795.nxml,Acid‐sensing ion channel 3 blockade inhibits durovascular and nitric oxide‐mediated trigeminal pain,1,0,0,0,0
24-8-2019,Br_J_Pharmacol,PMC6780047.nxml,Mitochondrial protection by simvastatin against angiotensin II‐mediated heart failure,0,1,0,0,0
01-4-2019,Br_J_Pharmacol,PMC6468262.nxml,"A novel cyclic biased agonist of the apelin receptor, MM07, is disease modifying in the rat monocrotaline model of pulmonary arterial hypertension",1,0,0,0,0
14-8-2020,Br_J_Pharmacol,PMC7484560.nxml,Nicotine increases alcohol self‐administration in male rats via a μ‐opioid mechanism within the mesolimbic pathway,0,1,0,0,0
26-1-2020,Br_J_Pharmacol,PMC7042121.nxml,Vasodilation of rat skeletal muscle arteries by the novel BK channel opener GoSlo is mediated by the simultaneous activation of BK and Kv7 channels,1,0,0,0,0
27-12-2019,Br_J_Pharmacol,PMC6976880.nxml,Dual inhibition of cannabinoid CB1 receptor and inducible NOS attenuates obesity‐induced chronic kidney disease,1,2,0,0,0
03-2-2020,Br_J_Pharmacol,PMC7070173.nxml,Haemodynamic effects of the flavonoid quercetin in rats revisited,1,0,0,0,0
08-10-2019,Br_J_Pharmacol,PMC6811746.nxml,Local controlled release of corticosteroids extends surgically induced joint instability by inhibiting tissue healing,0,1,0,0,0
11-12-2019,Br_J_Pharmacol,PMC7012943.nxml,Histamine up‐regulates oncostatin M expression in human M1 macrophages,1,0,0,0,0
06-3-2019,Br_J_Pharmacol,PMC6433648.nxml,"Probe dependence of allosteric enhancers on the binding affinity of adenosine A1‐receptor agonists at rat and human A1‐receptors measured using NanoBRET
",1,0,0,0,0
10-4-2020,Br_J_Pharmacol,PMC7174886.nxml,"Acetylshikonin suppressed growth of colorectal tumour tissue and cells by inhibiting the intracellular kinase, T‐lymphokine‐activated killer cell‐originated protein kinase.",1,1,0,0,0
15-7-2019,Br_J_Pharmacol,PMC6692582.nxml,Comparison of the ligand‐binding properties of fluorescent VEGF‐A isoforms to VEGF receptor 2 in living cells and membrane preparations using NanoBRET,1,1,0,0,0
22-4-2020,Br_J_Pharmacol,PMC7236080.nxml,Cannabidiol improves survival and behavioural co‐morbidities of Dravet syndrome in mice,2,0,0,0,0
30-8-2020,Br_J_Pharmacol,PMC7484509.nxml,Hypersensitivity to amphetamine's psychomotor and reinforcing effects in serotonin transporter knockout rats: Glutamate in the nucleus accumbens,1,0,0,0,0
14-7-2019,Br_J_Pharmacol,PMC6692586.nxml,Hydrogen sulfide lowers hyperhomocysteinemia dependent on cystathionine γ lyase S‐sulfhydration in ApoE‐knockout atherosclerotic mice,1,1,0,0,0
27-1-2020,Br_J_Pharmacol,PMC7060358.nxml,Phosphatidylinositol 3‐kinase‐δ controls endoplasmic reticulum membrane fluidity and permeability in fungus‐induced allergic inflammation in mice,1,1,0,0,0
27-5-2020,Br_J_Pharmacol,PMC7348095.nxml,"Exendin‐4, a GLP‐1 receptor agonist regulates retinal capillary tone and restores microvascular patency after ischaemia–reperfusion injury",0,1,0,0,0
26-1-2020,Br_J_Pharmacol,PMC7042112.nxml,"FK506 regulates Ca2+ release evoked by inositol 1,4,5‐trisphosphate independently of FK‐binding protein in endothelial cells",0,0,1,1,0
21-9-2020,Br_J_Pharmacol,PMC7588822.nxml,Identification of novel therapeutic targets for blocking acantholysis in pemphigus,3,0,0,0,0
31-3-2020,Br_J_Pharmacol,PMC7279982.nxml,"Regulation of ICa,L and force by PDEs in human‐induced pluripotent stem cell‐derived cardiomyocytes",3,0,0,0,0
24-8-2020,Br_J_Pharmacol,PMC7484505.nxml,Uncoupling sodium channel dimers restores the phenotype of a pain‐linked Nav1.7 channel mutation,1,0,0,0,0
24-1-2020,Br_J_Pharmacol,PMC7060366.nxml,G protein‐biased kratom‐alkaloids and synthetic carfentanil‐amide opioids as potential treatments for alcohol use disorder,1,0,0,0,0
24-4-2020,Br_J_Pharmacol,PMC7312436.nxml,"Improved efficacy, tolerance, safety, and abuse liability profile of the combination of CR4056 and morphine over morphine alone in rodent models",1,0,0,0,0
02-9-2020,Br_J_Pharmacol,PMC7520439.nxml,Vulnerability to psychological stress‐induced anorexia in female mice depends on blockade of ghrelin signal in nucleus tractus solitarius,3,0,0,0,0
18-3-2019,Br_J_Pharmacol,PMC6451076.nxml,Cannabinoids differentially modulate cortical information transmission through the sensorimotor or medial prefrontal basal ganglia circuits,1,0,0,0,0
24-7-2019,Br_J_Pharmacol,PMC6692577.nxml,"Endothelial TRPV4 channels modulate vascular tone by Ca2+‐induced Ca2+ release at inositol 1,4,5‐trisphosphate receptors",1,0,0,0,0
25-1-2018,Br_J_Pharmacol,PMC5811618.nxml,Simultaneous use of erythropoietin and LFM‐A13 as a new therapeutic approach for colorectal cancer,1,1,0,0,0
24-9-2020,Br_J_Pharmacol,PMC7589011.nxml,TASK‐1 channel blockade by AVE1231 increases vasocontractile responses and BP in 1‐ to 2‐week‐old but not adult rats,2,0,0,0,0
15-10-2019,Br_J_Pharmacol,PMC6811742.nxml,"No interactions between heparin and atacicept, an antagonist of B cell survival cytokines",1,0,0,0,0
17-2-2020,Br_J_Pharmacol,PMC7280004.nxml,Morphine‐induced respiratory depression is independent of β‐arrestin2 signalling,1,1,0,0,0
01-8-2016,Brain_Behav,PMC5064343.nxml,The feasibility of 11C‐PIB‐PET/CT for amyloid plaque burden: validation of the effectiveness of CT‐based partial volume correction,0,0,0,0,1
21-9-2018,Brain_Behav,PMC6192403.nxml,Efficacy of exogenous pyruvate in TremblerJ mouse model of Charcot‐Marie‐Tooth neuropathy,4,0,0,0,0
27-7-2016,Brain_Behav,PMC5167007.nxml,Striatal morphology correlates with frontostriatal electrophysiological motor processing in Huntington's disease: an IMAGE‐HD study,0,0,1,0,0
27-6-2016,Brain_Behav,PMC5036434.nxml,Long‐term acclimatization to high‐altitude hypoxia modifies interhemispheric functional and structural connectivity in the adult brain,0,0,0,0,1
09-9-2020,Brain_Behav,PMC7559604.nxml,Alteration in topological properties of brain functional network after 2‐year high altitude exposure: A panel study,1,0,0,0,0
16-8-2020,Brain_Behav,PMC7559618.nxml,A lab‐on‐a‐chip model of glaucoma,1,0,0,0,0
30-4-2019,Brain_Behav,PMC6577615.nxml,"SB203580, a p38MAPK inhibitor, attenuates olfactory dysfunction by inhibiting OSN apoptosis in AR mice (activation and involvement of the p38 mitogen‐activated protein kinase in olfactory sensory neuronal apoptosis of OVA‐induced allergic rhinitis)",1,0,0,0,0
18-6-2020,Brain_Behav,PMC7428483.nxml,Functional network activity during errorless and trial‐and‐error color‐name association learning,0,0,1,0,0
17-6-2016,Brain_Behav,PMC5036435.nxml,Collateral state and the effect of endovascular reperfusion therapy on clinical outcome in ischemic stroke patients,0,0,0,0,1
30-5-2017,Brain_Behav,PMC5516609.nxml,Hippocampal slice preparation in rats acutely suppresses immunoreactivity of microtubule‐associated protein (Map2) and glycogen levels without affecting numbers of glia or levels of the glutamate transporter VGlut1,0,0,0,0,2
18-6-2020,Brain_Behav,PMC7428486.nxml,Performance of healthy persons under pain in different cognitive load tasks: An event‐related potential study on experimental pain individuals,0,0,1,0,0
23-10-2017,Brain_Behav,PMC5651403.nxml,Expression of BDNF and trkB in the hippocampus of a rat genetic model of vulnerability (Roman low‐avoidance) and resistance (Roman high‐avoidance) to stress‐induced depression,0,2,0,0,0
11-10-2016,Brain_Behav,PMC5167001.nxml,Effects of isoflurane anesthesia on resting‐state fMRI signals and functional connectivity within primary somatosensory cortex of monkeys,0,0,1,0,0
19-2-2017,Brain_Behav,PMC5346523.nxml,"Evaluating the levels of CSF and serum factors in ALS
",1,0,0,0,0
29-4-2019,Brain_Behav,PMC6576176.nxml,Differential effects on neurodevelopment of FTO variants in obesity and bipolar disorder suggested by in silico prediction of functional impact: An analysis in Mexican population,0,0,0,0,1
23-6-2017,Brain_Behav,PMC5561307.nxml,"Cerebral gray matter volume reduction in subcortical vascular mild cognitive impairment patients and subcortical vascular dementia patients, and its relation with cognitive deficits",0,0,2,0,0
06-2-2017,Brain_Behav,PMC5346525.nxml,Disrupted brain network functional dynamics and hyper‐correlation of structural and functional connectome topology in patients with breast cancer prior to treatment,0,0,0,0,1
30-10-2018,Brain_Behav,PMC6305938.nxml,Sex‐biased gene expression in the frontal cortex of common marmosets (Callithrix jacchus) and potential behavioral correlates,0,0,0,0,2
14-10-2016,Brain_Behav,PMC5167005.nxml,Different mechanosensory stimulations of the lower back elicit specific changes in hemodynamics and oxygenation in cortical sensorimotor areas—A fNIRS study,0,0,1,0,0
09-2-2017,Brain_Behav,PMC5346526.nxml,MxA mRNA decrease preceding NAb detection in IFNβ‐treated MS patients,1,0,0,0,0
11-3-2019,Brain_Behav,PMC6456771.nxml,A 5‐gene prognostic nomogram predicting survival probability of glioblastoma patients,0,0,0,0,2
18-4-2020,Brain_Behav,PMC7303402.nxml,Network changes in patients with phobic postural vertigo,0,0,1,0,1
11-8-2017,Brain_Behav,PMC5607536.nxml,Cervical sensorimotor control in idiopathic cervical dystonia: A cross‐sectional study,0,0,2,0,0
20-9-2016,Brain_Behav,PMC5167004.nxml,"
fMRI functional connectivity of the periaqueductal gray in PTSD and its dissociative subtype",0,0,1,0,0
16-2-2016,Brain_Behav,PMC4754497.nxml,Broadening the spectrum of controls for skin biopsy in painful neuropathies: spondylotic cervical myelopathy patients with painful feet,0,1,0,0,0
10-4-2017,Brain_Behav,PMC5434189.nxml,Interpersonal early‐life trauma alters amygdala connectivity and sustained attention performance,0,0,2,0,0
04-6-2017,Brain_Behav,PMC5516606.nxml,Abnormal resting state effective connectivity within the default mode network in major depressive disorder: A spectral dynamic causal modeling study,0,0,0,0,2
04-7-2019,Brain_Behav,PMC6710208.nxml,Sensory deafferentation modulates and redistributes neurocan in the rat auditory brainstem,2,0,0,2,0
06-9-2017,Brain_Behav,PMC5651396.nxml,"Reflex‐based grasping, skilled forelimb reaching, and electrodiagnostic evaluation for comprehensive analysis of functional recovery—The 7‐mm rat median nerve gap repair model revisited",2,2,0,0,0
12-7-2017,Brain_Behav,PMC5561322.nxml,"Longitudinal study of neuropathy, microangiopathy, and autophagy in sural nerve: Implications for diabetic neuropathy",0,2,0,0,0
21-7-2017,Brain_Behav,PMC5561327.nxml,A novel p.T139M mutation in HSPB1 highlighting the phenotypic spectrum in a family,2,0,0,0,0
12-10-2019,Brain_Behav,PMC6851803.nxml,Resting‐state brain entropy in right temporal lobe epilepsy and its relationship with alertness,0,0,1,0,0
24-5-2016,Brain_Behav,PMC4980467.nxml,Power modulation of electroencephalogram mu and beta frequency depends on perceived level of observed actions,0,0,1,0,0
26-9-2017,Brain_Behav,PMC5698860.nxml,Object words modulate the activity of the mirror neuron system during action imitation,0,0,2,0,0
12-12-2018,Brain_Behav,PMC6346647.nxml,Unilateral neglect post stroke: Eye movement frequencies indicate directional hypokinesia while fixation distributions suggest compensational mechanism,0,0,2,0,0
30-3-2016,Brain_Behav,PMC4814225.nxml,Reliability and reproducibility of individual differences in functional connectivity acquired during task and resting state,0,0,1,0,0
31-5-2018,Brain_Behav,PMC6043706.nxml,Temporary conductive hearing loss in early life impairs spatial memory of rats in adulthood,2,0,0,0,0
30-6-2017,Brain_Behav,PMC5561316.nxml,Sciatic nerve repair using poly(ε‐caprolactone) tubular prosthesis associated with nanoparticles of carbon and graphene,2,2,0,0,0
22-11-2017,Brain_Behav,PMC5745242.nxml,An interspecies comparative study of invasive electrophysiological functional connectivity,0,0,2,0,0
09-8-2018,Brain_Behav,PMC6160643.nxml,"Most calbindin‐immunoreactive neurons, but few calretinin‐immunoreactive neurons, express the m1 acetylcholine receptor in the middle temporal visual area of the macaque monkey",0,0,3,0,0
06-6-2018,Brain_Behav,PMC6043700.nxml,Exposure to attachment narratives dynamically modulates cortical arousal during the resting state in the listener,0,0,2,0,0
01-2-2016,Brain_Behav,PMC4831416.nxml,Effects of progesterone on hyperoxia‐induced damage in mouse C8‐D1A astrocytes,1,0,0,0,0
28-9-2018,Brain_Behav,PMC6236228.nxml,Protective effect of docosahexaenoic acid on lipotoxicity‐mediated cell death in Schwann cells: Implication of PI3K/AKT and mTORC2 pathways,2,0,0,0,0
28-11-2019,Brain_Struct_Funct,PMC6957565.nxml,Cross-modal reaction of auditory and visual cortices after long-term bilateral hearing deprivation in the rat,0,1,0,0,0
28-11-2019,Brain_Struct_Funct,PMC6957565.nxml,Cross-modal reaction of auditory and visual cortices after long-term bilateral hearing deprivation in the rat,0,1,0,0,0
28-11-2019,Brain_Struct_Funct,PMC6957565.nxml,Cross-modal reaction of auditory and visual cortices after long-term bilateral hearing deprivation in the rat,0,1,0,0,0
28-11-2019,Brain_Struct_Funct,PMC6957565.nxml,Cross-modal reaction of auditory and visual cortices after long-term bilateral hearing deprivation in the rat,0,1,0,0,0
28-11-2019,Brain_Struct_Funct,PMC6957565.nxml,Cross-modal reaction of auditory and visual cortices after long-term bilateral hearing deprivation in the rat,0,1,0,0,0
28-11-2019,Brain_Struct_Funct,PMC6957565.nxml,Cross-modal reaction of auditory and visual cortices after long-term bilateral hearing deprivation in the rat,0,1,0,0,0
2-11-2020,Cancer_Cell_Int,PMC7607643.nxml,Lonidamine potentiates the oncolytic efficiency of M1 virus independent of hexokinase 2 but via inhibition of antiviral immunity,1,0,0,0,0
28-8-2020,Cancer_Sci,PMC7540996.nxml,Neuroblastoma patient‐derived cultures are enriched for a mesenchymal gene signature and reflect individual drug response,0,1,0,0,0
25-3-2018,Cancer_Sci,PMC5891171.nxml,Stemness and anti‐cancer drug resistance in ATP‐binding cassette subfamily G member 2 highly expressed pancreatic cancer is induced in 3D culture conditions,0,0,0,1,0
10-9-2019,Cancer_Med,PMC6825986.nxml,Genomic stratification beyond Ras/B‐Raf in colorectal liver metastasis patients treated with hepatic arterial infusion,0,0,0,0,1
24-8-2020,Cancers_(Basel),PMC7563274.nxml,Combined Targeting of Estrogen Receptor Alpha and Exportin 1 in Metastatic Breast Cancers,2,0,0,0,0
25-9-2019,Cancers_(Basel),PMC6826697.nxml,FOXO1 Confers Maintenance of the Dark Zone Proliferation and Survival Program and Can Be Pharmacologically Targeted in Burkitt Lymphoma,0,4,0,0,0
17-7-2019,Cancers_(Basel),PMC6679108.nxml,Prognostic Impact of Melatonin Receptors MT1 and MT2 in Non-Small Cell Lung Cancer (NSCLC),1,0,0,0,0
11-10-2019,Cancers_(Basel),PMC6826442.nxml,Expression of Irisin/FNDC5 in Cancer Cells and Stromal Fibroblasts of Non-Small Cell Lung Cancer,1,0,0,0,0
11-10-2019,Cancers_(Basel),PMC6826442.nxml,Expression of Irisin/FNDC5 in Cancer Cells and Stromal Fibroblasts of Non-Small Cell Lung Cancer,1,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
19-8-2020,Cell,PMC7437499.nxml,Loss of Bcl-6-Expressing T Follicular Helper Cells and Germinal Centers in COVID-19,2,0,0,0,0
